active,branch,cwd,file,filetype,project,time
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/,oil,unknown_project,2025-04-10 17:13:28
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 17:13:29
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/fileAndUndo/,oil,unknown_project,2025-04-10 17:13:35
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 17:13:37
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/,oil,unknown_project,2025-04-10 17:13:38
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/nvimTreesitter.lua,lua,unknown_project,2025-04-10 17:13:41
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/,oil,unknown_project,2025-04-10 17:13:44
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/nvimTreesitter.lua,lua,unknown_project,2025-04-10 17:13:45
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:13:45
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/nvimTreesitter.lua,lua,unknown_project,2025-04-10 17:13:46
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:13:50
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:14:02
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/,oil,unknown_project,2025-04-10 17:14:37
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 17:14:39
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/,oil,unknown_project,2025-04-10 17:14:40
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/,oil,unknown_project,2025-04-10 17:14:40
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/,oil,unknown_project,2025-04-10 17:14:40
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/,oil,unknown_project,2025-04-10 17:14:41
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:14:53
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:15:02
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:15:19
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/,oil,unknown_project,2025-04-10 17:16:51
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/,oil,unknown_project,2025-04-10 17:16:53
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/,oil,unknown_project,2025-04-10 17:16:59
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/,oil,unknown_project,2025-04-10 17:17:00
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 17:17:00
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/,oil,unknown_project,2025-04-10 17:17:01
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:17:03
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:17:24
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/,oil,unknown_project,2025-04-10 17:19:40
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/,oil,unknown_project,2025-04-10 17:19:41
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/,oil,unknown_project,2025-04-10 17:19:45
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/,oil,unknown_project,2025-04-10 17:19:46
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 17:19:46
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/,oil,unknown_project,2025-04-10 17:19:48
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:19:49
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:20:26
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/,oil,unknown_project,2025-04-10 17:20:40
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/,oil,unknown_project,2025-04-10 17:20:42
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/,oil,unknown_project,2025-04-10 17:20:46
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/.qodo/,oil,unknown_project,2025-04-10 17:20:47
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/,oil,unknown_project,2025-04-10 17:20:48
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/,oil,unknown_project,2025-04-10 17:20:48
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 17:20:49
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/,oil,unknown_project,2025-04-10 17:20:51
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:20:53
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:21:29
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:21:35
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/,oil,unknown_project,2025-04-10 17:22:01
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/,oil,unknown_project,2025-04-10 17:22:03
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/,oil,unknown_project,2025-04-10 17:22:08
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/,oil,unknown_project,2025-04-10 17:22:08
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 17:22:09
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/,oil,unknown_project,2025-04-10 17:22:11
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:22:13
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:22:38
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:22:39
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/,oil,unknown_project,2025-04-10 17:23:35
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/,oil,unknown_project,2025-04-10 17:23:37
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/,oil,unknown_project,2025-04-10 17:23:39
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/,oil,unknown_project,2025-04-10 17:23:41
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 17:23:42
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/,oil,unknown_project,2025-04-10 17:23:43
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/,oil,unknown_project,2025-04-10 17:23:43
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/,oil,unknown_project,2025-04-10 17:23:44
true,unknown_branch,/home/priyeshmishra235,oil:///home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/,oil,unknown_project,2025-04-10 17:23:45
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:23:47
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:24:43
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:25:43
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/nvim/lua/plugins/fuzzyFinder/telescope.lua,lua,unknown_project,2025-04-10 17:26:11
true,unknown_branch,/home/priyeshmishra235/.config/hypr,/home/priyeshmishra235/.config/hypr/hyprland.conf,hyprlang,unknown_project,2025-04-10 18:41:03
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/.config/hypr/hyprland.conf,hyprlang,unknown_project,2025-04-10 18:41:30
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/CodeBase/testing.cpp,cpp,unknown_project,2025-04-12 12:03:46
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/CodeBase/testing.cpp,cpp,unknown_project,2025-04-12 12:03:48
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/CodeBase/testing.cpp,cpp,unknown_project,2025-04-12 12:04:48
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/CodeBase/testing.cpp,cpp,unknown_project,2025-04-12 12:05:48
true,unknown_branch,/home/priyeshmishra235,/home/priyeshmishra235/CodeBase/testing.cpp,cpp,unknown_project,2025-04-12 12:06:48
